action_id,site_id,hazard_id,assessment_id,inspection_id,assigned_to_person_id,action_description,priority,due_date,completed_date,status,created_date,notes
9272,443,14354.0,4040.0,,1300,Update emergency procedures documentation,MEDIUM,2021-05-30,,IN_PROGRESS,2021-03-25,
9273,443,14356.0,4043.0,,1298,Conduct staff training on updated procedure,MEDIUM,2022-11-10,2022-10-12,COMPLETED,2022-09-10,
9274,443,14356.0,4043.0,,1300,Repair or replace damaged infrastructure,MEDIUM,2022-11-14,2022-11-08,COMPLETED,2022-09-10,
9275,443,14359.0,4045.0,,1299,Engage contractor for specialist repair,CRITICAL,2023-09-24,,IN_PROGRESS,2023-09-15,
9276,443,14359.0,4045.0,,1298,Improve lighting in affected area,LOW,2023-12-16,,OVERDUE,2023-09-15,
9277,443,14359.0,4045.0,,1298,Remove or trim vegetation creating hazard,MEDIUM,2023-11-09,2023-11-03,COMPLETED,2023-09-15,
9278,443,14361.0,4046.0,,1300,Improve lighting in affected area,HIGH,2024-04-22,2024-04-18,COMPLETED,2024-03-18,
9279,443,14361.0,4046.0,,1300,Apply anti-slip treatment to surface,LOW,2024-06-15,,IN_PROGRESS,2024-03-18,
9280,443,14361.0,4046.0,,1298,Apply anti-slip treatment to surface,CRITICAL,2024-03-27,2024-03-23,COMPLETED,2024-03-18,
9281,443,14364.0,4047.0,,1298,Apply anti-slip treatment to surface,MEDIUM,2024-11-03,2024-10-19,COMPLETED,2024-09-03,
9282,443,14364.0,4047.0,,1300,Review and update risk register,CRITICAL,2024-09-20,2024-09-16,COMPLETED,2024-09-03,
9283,443,14364.0,4047.0,,1298,Improve lighting in affected area,MEDIUM,2024-10-30,2024-10-08,COMPLETED,2024-09-03,
9284,443,14364.0,4047.0,,1300,Update emergency procedures documentation,MEDIUM,2024-11-07,,IN_PROGRESS,2024-09-03,
9285,443,14367.0,4048.0,,1299,Install guard rail or barrier,MEDIUM,2025-05-08,2025-04-10,COMPLETED,2025-03-13,
9286,443,14367.0,4048.0,,1299,Improve lighting in affected area,HIGH,2025-04-06,2025-03-29,COMPLETED,2025-03-13,
9287,443,14367.0,4048.0,,1298,Schedule professional inspection,HIGH,2025-04-06,2025-04-04,COMPLETED,2025-03-13,
9288,443,14369.0,,3900.0,1298,Replace worn equipment,MEDIUM,2020-08-21,,IN_PROGRESS,2020-06-24,
9289,443,14372.0,,3901.0,1300,Review and update risk register,MEDIUM,2020-07-15,2020-06-23,COMPLETED,2020-05-15,
9290,443,14372.0,,3901.0,1299,Review and update risk register,LOW,2020-08-10,,OVERDUE,2020-05-15,
9291,443,14372.0,,3901.0,1298,Replace worn equipment,CRITICAL,2020-05-25,2020-05-20,COMPLETED,2020-05-15,
9292,443,14373.0,,3902.0,1299,Update emergency procedures documentation,MEDIUM,2020-06-18,2020-06-01,COMPLETED,2020-04-23,
9293,443,14376.0,,3903.0,1299,Repair or replace damaged infrastructure,MEDIUM,2021-12-18,2021-12-17,COMPLETED,2021-10-18,
9294,443,14376.0,,3903.0,1300,Schedule professional inspection,MEDIUM,2021-12-19,2021-12-14,COMPLETED,2021-10-18,
9295,443,14376.0,,3903.0,1298,Conduct staff training on updated procedure,CRITICAL,2021-10-28,2021-10-23,COMPLETED,2021-10-18,
9296,443,14379.0,,3908.0,1299,Apply anti-slip treatment to surface,LOW,2022-09-07,,OVERDUE,2022-06-07,
9297,443,14379.0,,3908.0,1298,Install additional safety signage,HIGH,2022-07-01,,OVERDUE,2022-06-07,
9298,443,14381.0,,3910.0,1298,Remove or trim vegetation creating hazard,MEDIUM,2023-08-26,2023-08-09,COMPLETED,2023-06-21,
9299,443,14382.0,,3911.0,1298,Repair or replace damaged infrastructure,HIGH,2023-04-24,2023-04-16,COMPLETED,2023-03-27,
9300,443,14386.0,,3913.0,1300,Install additional safety signage,HIGH,2024-11-18,2024-11-09,COMPLETED,2024-10-22,
9301,451,14390.0,4049.0,,1301,Engage contractor for specialist repair,MEDIUM,2020-05-13,,OVERDUE,2020-03-11,
9302,451,14390.0,4049.0,,1301,Schedule professional inspection,MEDIUM,2020-05-13,2020-04-29,COMPLETED,2020-03-11,
9303,451,14391.0,4050.0,,1302,Apply anti-slip treatment to surface,LOW,2020-12-06,2020-11-04,COMPLETED,2020-09-01,
9304,451,14391.0,4050.0,,1303,Install additional safety signage,HIGH,2020-10-04,2020-09-30,COMPLETED,2020-09-01,
9305,451,14392.0,4051.0,,1303,Replace worn equipment,LOW,2021-05-30,2021-05-01,COMPLETED,2021-03-05,
9306,451,14392.0,4051.0,,1302,Replace worn equipment,MEDIUM,2021-04-28,2021-04-02,COMPLETED,2021-03-05,
9307,451,14393.0,4053.0,,1302,Review and update risk register,MEDIUM,2022-05-21,2022-04-27,COMPLETED,2022-03-17,
9308,451,14393.0,4053.0,,1301,Improve lighting in affected area,HIGH,2022-04-17,2022-04-06,COMPLETED,2022-03-17,
9309,451,14397.0,4054.0,,1303,Schedule professional inspection,HIGH,2022-10-03,2022-10-02,COMPLETED,2022-09-03,
9310,451,14397.0,4054.0,,1301,Engage contractor for specialist repair,HIGH,2022-10-06,,IN_PROGRESS,2022-09-03,
9311,451,14397.0,4054.0,,1302,Replace worn equipment,MEDIUM,2022-10-27,2022-10-13,COMPLETED,2022-09-03,
9312,451,14397.0,4054.0,,1302,Install guard rail or barrier,LOW,2022-12-06,,OVERDUE,2022-09-03,
9313,451,14397.0,4054.0,,1301,Update emergency procedures documentation,HIGH,2022-09-28,,IN_PROGRESS,2022-09-03,
9314,451,14401.0,4055.0,,1301,Install guard rail or barrier,LOW,2023-06-23,2023-05-28,COMPLETED,2023-03-22,
9315,451,14405.0,4056.0,,1302,Improve lighting in affected area,HIGH,2023-10-18,,OVERDUE,2023-09-24,
9316,451,14405.0,4056.0,,1302,Conduct staff training on updated procedure,HIGH,2023-10-21,2023-10-11,COMPLETED,2023-09-24,
9317,451,14405.0,4056.0,,1301,Install guard rail or barrier,HIGH,2023-10-22,2023-10-08,COMPLETED,2023-09-24,
9318,451,14405.0,4056.0,,1301,Conduct staff training on updated procedure,MEDIUM,2023-11-16,2023-10-20,COMPLETED,2023-09-24,
9319,451,14405.0,4056.0,,1302,Update emergency procedures documentation,HIGH,2023-10-22,,OVERDUE,2023-09-24,
9320,451,14409.0,4058.0,,1302,Update emergency procedures documentation,MEDIUM,2024-10-29,2024-10-17,COMPLETED,2024-09-03,
9321,451,14409.0,4058.0,,1303,Remove or trim vegetation creating hazard,LOW,2024-12-04,2024-11-17,COMPLETED,2024-09-03,
9322,451,14409.0,4058.0,,1302,Improve lighting in affected area,LOW,2024-12-01,2024-11-08,COMPLETED,2024-09-03,
9323,451,14413.0,,3916.0,1302,Schedule professional inspection,MEDIUM,2020-07-06,,OVERDUE,2020-05-03,
9324,451,14415.0,,3918.0,1301,Install guard rail or barrier,MEDIUM,2022-08-04,,IN_PROGRESS,2022-06-05,
9325,451,14418.0,,3919.0,1303,Improve lighting in affected area,HIGH,2022-05-15,2022-05-01,COMPLETED,2022-04-19,
9326,451,14420.0,,3920.0,1303,Install additional safety signage,MEDIUM,2023-01-22,,IN_PROGRESS,2022-11-27,
9327,451,14420.0,,3920.0,1303,Update emergency procedures documentation,MEDIUM,2023-01-23,2023-01-23,COMPLETED,2022-11-27,
9328,451,14422.0,,3921.0,1301,Apply anti-slip treatment to surface,MEDIUM,2023-11-25,2023-11-14,COMPLETED,2023-09-27,
9329,451,14422.0,,3921.0,1301,Engage contractor for specialist repair,HIGH,2023-10-28,2023-10-25,COMPLETED,2023-09-27,
9330,451,14424.0,,3922.0,1302,Schedule professional inspection,LOW,2024-08-06,,OVERDUE,2024-05-10,
9331,451,14426.0,,3923.0,1303,Apply anti-slip treatment to surface,MEDIUM,2024-04-29,2024-04-23,COMPLETED,2024-03-06,
9332,451,14426.0,,3923.0,1301,Engage contractor for specialist repair,CRITICAL,2024-03-26,2024-03-25,COMPLETED,2024-03-06,
9333,452,14429.0,4060.0,,1305,Apply anti-slip treatment to surface,HIGH,2020-04-04,2020-04-04,COMPLETED,2020-03-04,
9334,452,14429.0,4060.0,,1305,Schedule professional inspection,MEDIUM,2020-05-09,2020-04-11,COMPLETED,2020-03-04,
9335,452,14433.0,4061.0,,1305,Conduct staff training on updated procedure,CRITICAL,2020-10-12,2020-10-07,COMPLETED,2020-09-23,
9336,452,14433.0,4061.0,,1304,Install guard rail or barrier,HIGH,2020-10-19,2020-10-19,COMPLETED,2020-09-23,
9337,452,14433.0,4061.0,,1306,Conduct staff training on updated procedure,LOW,2020-12-21,2020-11-07,COMPLETED,2020-09-23,
9338,452,14433.0,4061.0,,1306,Replace worn equipment,MEDIUM,2020-11-25,,OVERDUE,2020-09-23,
9339,452,14436.0,4062.0,,1305,Improve lighting in affected area,LOW,2021-06-07,2021-04-26,COMPLETED,2021-03-03,
9340,452,14436.0,4062.0,,1304,Conduct staff training on updated procedure,LOW,2021-05-30,2021-05-16,COMPLETED,2021-03-03,
9341,452,14436.0,4062.0,,1306,Repair or replace damaged infrastructure,MEDIUM,2021-04-30,2021-04-02,COMPLETED,2021-03-03,
9342,452,14436.0,4062.0,,1305,Schedule professional inspection,LOW,2021-06-03,2021-06-01,COMPLETED,2021-03-03,
9343,452,14439.0,4063.0,,1304,Improve lighting in affected area,LOW,2021-12-22,2021-12-07,COMPLETED,2021-09-18,
9344,452,14439.0,4063.0,,1305,Apply anti-slip treatment to surface,HIGH,2021-10-17,,IN_PROGRESS,2021-09-18,
9345,452,14439.0,4063.0,,1305,Install additional safety signage,MEDIUM,2021-11-21,2021-10-31,COMPLETED,2021-09-18,
9346,452,14442.0,4064.0,,1304,Schedule professional inspection,MEDIUM,2022-05-19,,IN_PROGRESS,2022-03-19,
9347,452,14442.0,4065.0,,1305,Repair or replace damaged infrastructure,MEDIUM,2022-11-10,2022-10-20,COMPLETED,2022-09-15,
9348,452,14449.0,4068.0,,1306,Install additional safety signage,LOW,2024-06-03,2024-05-10,COMPLETED,2024-03-04,
9349,452,14453.0,4069.0,,1305,Conduct staff training on updated procedure,LOW,2024-12-16,2024-11-29,COMPLETED,2024-09-17,
9350,452,14453.0,4069.0,,1306,Improve lighting in affected area,LOW,2024-12-13,2024-11-19,COMPLETED,2024-09-17,
9351,452,14453.0,4069.0,,1306,Apply anti-slip treatment to surface,MEDIUM,2024-11-18,,OVERDUE,2024-09-17,
9352,452,14456.0,,3924.0,1306,Apply anti-slip treatment to surface,HIGH,2020-10-21,2020-10-20,COMPLETED,2020-09-15,
9353,452,14457.0,,3926.0,1305,Install additional safety signage,HIGH,2021-10-10,2021-10-05,COMPLETED,2021-09-11,
9354,452,14461.0,,3930.0,1304,Improve lighting in affected area,CRITICAL,2023-08-06,2023-07-31,COMPLETED,2023-07-18,
9355,452,14461.0,,3930.0,1305,Conduct staff training on updated procedure,MEDIUM,2023-09-17,,OVERDUE,2023-07-18,
9356,452,14463.0,,3932.0,1304,Install additional safety signage,CRITICAL,2024-03-01,2024-02-25,COMPLETED,2024-02-11,
9357,452,14463.0,,3932.0,1304,Update emergency procedures documentation,MEDIUM,2024-04-15,,OVERDUE,2024-02-11,
9358,453,14464.0,4071.0,,1308,Improve lighting in affected area,MEDIUM,2020-05-12,2020-04-17,COMPLETED,2020-03-14,
9359,453,14464.0,4071.0,,1309,Remove or trim vegetation creating hazard,CRITICAL,2020-03-25,2020-03-20,COMPLETED,2020-03-14,
9360,453,14464.0,4072.0,,1309,Improve lighting in affected area,MEDIUM,2020-11-20,2020-11-17,COMPLETED,2020-09-15,
9361,453,14466.0,4074.0,,1308,Apply anti-slip treatment to surface,LOW,2021-12-23,2021-11-25,COMPLETED,2021-09-21,
9362,453,14466.0,4074.0,,1310,Update emergency procedures documentation,LOW,2021-12-24,2021-11-29,COMPLETED,2021-09-21,
9363,453,14469.0,4075.0,,1309,Install guard rail or barrier,HIGH,2022-04-18,,OVERDUE,2022-03-14,
9364,453,14469.0,4075.0,,1310,Replace worn equipment,HIGH,2022-04-19,,OVERDUE,2022-03-14,
9365,453,14469.0,4075.0,,1310,Engage contractor for specialist repair,LOW,2022-06-12,2022-05-29,COMPLETED,2022-03-14,
9366,453,14469.0,4075.0,,1307,Engage contractor for specialist repair,MEDIUM,2022-05-11,2022-05-09,COMPLETED,2022-03-14,
9367,453,14473.0,4076.0,,1307,Review and update risk register,HIGH,2022-10-24,,OVERDUE,2022-09-24,
9368,453,14473.0,4076.0,,1310,Engage contractor for specialist repair,MEDIUM,2022-11-18,2022-11-02,COMPLETED,2022-09-24,
9369,453,14473.0,4076.0,,1308,Install guard rail or barrier,HIGH,2022-10-19,2022-10-06,COMPLETED,2022-09-24,
9370,453,14476.0,4077.0,,1309,Apply anti-slip treatment to surface,HIGH,2023-04-04,2023-03-23,COMPLETED,2023-03-12,
9371,453,14476.0,4077.0,,1308,Repair or replace damaged infrastructure,LOW,2023-06-15,2023-05-02,COMPLETED,2023-03-12,
9372,453,14476.0,4077.0,,1308,Improve lighting in affected area,MEDIUM,2023-05-11,2023-05-03,COMPLETED,2023-03-12,
9373,453,14476.0,4077.0,,1307,Review and update risk register,HIGH,2023-04-12,2023-03-30,COMPLETED,2023-03-12,
9374,453,14477.0,4079.0,,1309,Schedule professional inspection,CRITICAL,2024-04-11,2024-04-11,COMPLETED,2024-03-24,
9375,453,14481.0,4080.0,,1308,Install guard rail or barrier,HIGH,2024-09-25,2024-09-11,COMPLETED,2024-09-01,
9376,453,14481.0,4080.0,,1307,Conduct staff training on updated procedure,HIGH,2024-10-04,,OVERDUE,2024-09-01,
9377,453,14481.0,4080.0,,1308,Review and update risk register,LOW,2024-12-06,,OVERDUE,2024-09-01,
9378,453,14483.0,4081.0,,1309,Conduct staff training on updated procedure,LOW,2025-06-19,,OVERDUE,2025-03-22,
9379,453,14483.0,4081.0,,1309,Improve lighting in affected area,LOW,2025-06-14,,OVERDUE,2025-03-22,
9380,453,14489.0,,3936.0,1308,Install guard rail or barrier,HIGH,2020-12-05,2020-12-04,COMPLETED,2020-11-04,
9381,453,14489.0,,3936.0,1310,Conduct staff training on updated procedure,HIGH,2020-12-05,2020-12-02,COMPLETED,2020-11-04,
9382,453,14489.0,,3936.0,1307,Remove or trim vegetation creating hazard,LOW,2021-01-29,2021-01-02,COMPLETED,2020-11-04,
9383,453,14492.0,,3939.0,1309,Engage contractor for specialist repair,CRITICAL,2021-10-22,2021-10-19,COMPLETED,2021-10-08,
9384,453,14492.0,,3939.0,1307,Remove or trim vegetation creating hazard,CRITICAL,2021-10-18,2021-10-18,COMPLETED,2021-10-08,
9385,453,14494.0,,3941.0,1310,Conduct staff training on updated procedure,LOW,2022-05-11,2022-04-22,COMPLETED,2022-02-05,
9386,453,14501.0,,3946.0,1309,Install additional safety signage,HIGH,2024-05-16,2024-05-13,COMPLETED,2024-04-10,
9387,454,14504.0,4082.0,,1311,Install additional safety signage,HIGH,2020-03-26,2020-03-22,COMPLETED,2020-03-02,
9388,454,14504.0,4082.0,,1311,Apply anti-slip treatment to surface,MEDIUM,2020-05-01,2020-04-29,COMPLETED,2020-03-02,
9389,454,14505.0,4083.0,,1311,Replace worn equipment,HIGH,2020-10-22,2020-10-16,COMPLETED,2020-09-21,
9390,454,14505.0,4083.0,,1313,Improve lighting in affected area,CRITICAL,2020-10-05,,IN_PROGRESS,2020-09-21,
9391,454,14511.0,4085.0,,1312,Install additional safety signage,MEDIUM,2021-11-15,2021-11-12,COMPLETED,2021-09-11,
9392,454,14511.0,4085.0,,1312,Conduct staff training on updated procedure,LOW,2021-12-07,,IN_PROGRESS,2021-09-11,
9393,454,14519.0,4088.0,,1311,Improve lighting in affected area,LOW,2023-06-23,2023-06-03,COMPLETED,2023-03-24,
9394,454,14519.0,4088.0,,1313,Engage contractor for specialist repair,HIGH,2023-04-20,,IN_PROGRESS,2023-03-24,
9395,454,14519.0,4088.0,,1313,Remove or trim vegetation creating hazard,MEDIUM,2023-05-18,2023-05-05,COMPLETED,2023-03-24,
9396,454,14528.0,4091.0,,1313,Conduct staff training on updated procedure,MEDIUM,2024-10-31,2024-10-12,COMPLETED,2024-09-04,
9397,454,14528.0,4091.0,,1312,Engage contractor for specialist repair,MEDIUM,2024-11-07,2024-10-14,COMPLETED,2024-09-04,
9398,454,14531.0,4092.0,,1312,Apply anti-slip treatment to surface,MEDIUM,2025-05-03,2025-04-10,COMPLETED,2025-03-06,
9399,454,14531.0,4092.0,,1311,Improve lighting in affected area,LOW,2025-05-29,2025-04-26,COMPLETED,2025-03-06,
9400,454,14536.0,,3949.0,1313,Install guard rail or barrier,HIGH,2021-07-28,2021-07-18,COMPLETED,2021-06-26,
9401,454,14536.0,,3949.0,1313,Conduct staff training on updated procedure,HIGH,2021-07-30,,IN_PROGRESS,2021-06-26,
9402,454,14536.0,,3949.0,1311,Install guard rail or barrier,MEDIUM,2021-08-29,,IN_PROGRESS,2021-06-26,
9403,454,14537.0,,3950.0,1311,Repair or replace damaged infrastructure,MEDIUM,2022-01-02,,IN_PROGRESS,2021-11-05,
9404,454,14540.0,,3951.0,1313,Install additional safety signage,HIGH,2021-08-02,2021-07-24,COMPLETED,2021-07-07,
9405,454,14542.0,,3954.0,1312,Engage contractor for specialist repair,LOW,2023-09-07,,IN_PROGRESS,2023-06-10,
9406,456,14550.0,4093.0,,1314,Conduct staff training on updated procedure,MEDIUM,2020-05-26,2020-05-14,COMPLETED,2020-03-22,
9407,456,14550.0,4093.0,,1315,Install additional safety signage,CRITICAL,2020-04-07,2020-04-06,COMPLETED,2020-03-22,
9408,456,14550.0,4093.0,,1316,Install additional safety signage,MEDIUM,2020-05-26,,IN_PROGRESS,2020-03-22,
9409,456,14550.0,4093.0,,1316,Install guard rail or barrier,HIGH,2020-04-14,2020-04-04,COMPLETED,2020-03-22,
9410,456,14554.0,4094.0,,1314,Apply anti-slip treatment to surface,HIGH,2020-10-06,,OVERDUE,2020-09-05,
9411,456,14554.0,4094.0,,1315,Review and update risk register,LOW,2020-12-06,2020-12-05,COMPLETED,2020-09-05,
9412,456,14554.0,4094.0,,1317,Remove or trim vegetation creating hazard,HIGH,2020-10-05,2020-09-22,COMPLETED,2020-09-05,
9413,456,14554.0,4094.0,,1314,Remove or trim vegetation creating hazard,MEDIUM,2020-10-31,2020-10-06,COMPLETED,2020-09-05,
9414,456,14558.0,4095.0,,1315,Remove or trim vegetation creating hazard,LOW,2021-05-28,2021-04-22,COMPLETED,2021-03-02,
9415,456,14558.0,4095.0,,1317,Engage contractor for specialist repair,HIGH,2021-04-05,2021-04-04,COMPLETED,2021-03-02,
9416,456,14558.0,4095.0,,1315,Apply anti-slip treatment to surface,MEDIUM,2021-04-29,2021-04-26,COMPLETED,2021-03-02,
9417,456,14558.0,4095.0,,1317,Install guard rail or barrier,HIGH,2021-04-05,2021-04-02,COMPLETED,2021-03-02,
9418,456,14561.0,4097.0,,1315,Replace worn equipment,MEDIUM,2022-05-19,,OVERDUE,2022-03-23,
9419,456,14561.0,4097.0,,1316,Repair or replace damaged infrastructure,CRITICAL,2022-04-05,,OVERDUE,2022-03-23,
9420,456,14561.0,4097.0,,1315,Replace worn equipment,HIGH,2022-04-16,,OVERDUE,2022-03-23,
9421,456,14567.0,4099.0,,1315,Apply anti-slip treatment to surface,HIGH,2023-04-13,2023-04-08,COMPLETED,2023-03-18,
9422,456,14575.0,4103.0,,1314,Remove or trim vegetation creating hazard,HIGH,2025-04-02,2025-04-02,COMPLETED,2025-03-03,
9423,456,14575.0,4103.0,,1317,Review and update risk register,CRITICAL,2025-03-15,2025-03-15,COMPLETED,2025-03-03,
9424,456,14575.0,4103.0,,1316,Update emergency procedures documentation,CRITICAL,2025-03-22,,IN_PROGRESS,2025-03-03,
9425,456,14575.0,4103.0,,1317,Apply anti-slip treatment to surface,LOW,2025-05-31,,OVERDUE,2025-03-03,
9426,456,14576.0,,3960.0,1314,Update emergency procedures documentation,MEDIUM,2020-05-18,,IN_PROGRESS,2020-03-16,
9427,456,14579.0,,3961.0,1314,Review and update risk register,CRITICAL,2020-12-01,,OVERDUE,2020-11-16,
9428,456,14579.0,,3961.0,1315,Install guard rail or barrier,MEDIUM,2021-01-11,2020-12-22,COMPLETED,2020-11-16,
9429,456,14579.0,,3961.0,1315,Replace worn equipment,LOW,2021-02-08,2021-01-03,COMPLETED,2020-11-16,
9430,456,14583.0,,3963.0,1316,Update emergency procedures documentation,MEDIUM,2021-10-31,,OVERDUE,2021-09-06,
9431,456,14583.0,,3963.0,1314,Install guard rail or barrier,CRITICAL,2021-09-18,2021-09-16,COMPLETED,2021-09-06,
9432,456,14586.0,,3964.0,1314,Replace worn equipment,MEDIUM,2021-09-14,2021-08-18,COMPLETED,2021-07-23,
9433,456,14592.0,,3968.0,1317,Conduct staff training on updated procedure,CRITICAL,2023-08-02,2023-07-30,COMPLETED,2023-07-16,
9434,456,14592.0,,3968.0,1317,Install additional safety signage,HIGH,2023-08-17,2023-08-14,COMPLETED,2023-07-16,
9435,456,14594.0,,3969.0,1314,Engage contractor for specialist repair,CRITICAL,2023-04-10,2023-04-04,COMPLETED,2023-03-21,
9436,456,14597.0,,3970.0,1317,Install additional safety signage,LOW,2025-01-13,2024-12-19,COMPLETED,2024-10-19,
9437,456,14597.0,,3970.0,1317,Review and update risk register,CRITICAL,2024-10-30,2024-10-24,COMPLETED,2024-10-19,
9438,456,14597.0,,3970.0,1315,Update emergency procedures documentation,HIGH,2024-11-19,2024-11-16,COMPLETED,2024-10-19,
9439,460,14600.0,4104.0,,1319,Replace worn equipment,CRITICAL,2020-03-20,,IN_PROGRESS,2020-03-09,
9440,460,14600.0,4104.0,,1319,Engage contractor for specialist repair,LOW,2020-06-13,2020-05-15,COMPLETED,2020-03-09,
9441,460,14604.0,4105.0,,1319,Install additional safety signage,MEDIUM,2020-11-04,2020-10-18,COMPLETED,2020-09-09,
9442,460,14604.0,4105.0,,1320,Repair or replace damaged infrastructure,MEDIUM,2020-11-05,2020-10-14,COMPLETED,2020-09-09,
9443,460,14604.0,4105.0,,1318,Replace worn equipment,HIGH,2020-10-08,,OVERDUE,2020-09-09,
9444,460,14604.0,4105.0,,1319,Schedule professional inspection,MEDIUM,2020-11-09,,IN_PROGRESS,2020-09-09,
9445,460,14604.0,4105.0,,1319,Install additional safety signage,LOW,2020-12-08,2020-12-03,COMPLETED,2020-09-09,
9446,460,14608.0,4106.0,,1318,Improve lighting in affected area,HIGH,2021-04-22,2021-04-22,COMPLETED,2021-03-19,
9447,460,14609.0,4107.0,,1320,Apply anti-slip treatment to surface,MEDIUM,2021-11-12,2021-10-16,COMPLETED,2021-09-11,
9448,460,14611.0,4108.0,,1320,Update emergency procedures documentation,HIGH,2022-04-13,2022-03-30,COMPLETED,2022-03-19,
9449,460,14611.0,4109.0,,1319,Replace worn equipment,MEDIUM,2022-11-11,2022-10-22,COMPLETED,2022-09-12,
9450,460,14611.0,4110.0,,1320,Install guard rail or barrier,CRITICAL,2023-04-03,2023-03-29,COMPLETED,2023-03-19,
9451,460,14614.0,4112.0,,1320,Install guard rail or barrier,MEDIUM,2024-05-14,2024-04-29,COMPLETED,2024-03-18,
9452,460,14616.0,4113.0,,1320,Engage contractor for specialist repair,LOW,2024-12-26,2024-11-22,COMPLETED,2024-09-24,
9453,460,14616.0,4113.0,,1320,Repair or replace damaged infrastructure,MEDIUM,2024-11-23,2024-11-16,COMPLETED,2024-09-24,
9454,460,14616.0,4113.0,,1320,Install guard rail or barrier,HIGH,2024-10-27,2024-10-26,COMPLETED,2024-09-24,
9455,460,14619.0,4114.0,,1318,Install guard rail or barrier,MEDIUM,2025-05-12,2025-04-28,COMPLETED,2025-03-15,
9456,460,14619.0,4114.0,,1318,Install additional safety signage,HIGH,2025-04-17,2025-04-06,COMPLETED,2025-03-15,
9457,460,14619.0,4114.0,,1319,Apply anti-slip treatment to surface,HIGH,2025-04-15,2025-04-12,COMPLETED,2025-03-15,
9458,460,14622.0,,3973.0,1320,Remove or trim vegetation creating hazard,HIGH,2022-09-12,2022-09-09,COMPLETED,2022-08-13,
9459,460,14622.0,,3973.0,1318,Improve lighting in affected area,HIGH,2022-09-15,,IN_PROGRESS,2022-08-13,
9460,460,14622.0,,3973.0,1320,Update emergency procedures documentation,HIGH,2022-09-11,2022-08-28,COMPLETED,2022-08-13,
9461,460,14625.0,,3974.0,1320,Remove or trim vegetation creating hazard,HIGH,2022-08-19,2022-08-13,COMPLETED,2022-07-26,
9462,460,14625.0,,3974.0,1320,Update emergency procedures documentation,MEDIUM,2022-09-22,2022-09-11,COMPLETED,2022-07-26,
9463,460,14625.0,,3974.0,1318,Remove or trim vegetation creating hazard,HIGH,2022-08-28,,IN_PROGRESS,2022-07-26,
9464,460,14628.0,,3977.0,1320,Install additional safety signage,CRITICAL,2024-02-28,2024-02-22,COMPLETED,2024-02-20,
9465,460,14628.0,,3977.0,1320,Engage contractor for specialist repair,MEDIUM,2024-04-22,,OVERDUE,2024-02-20,
9466,462,,4115.0,,1323,Install additional safety signage,CRITICAL,2020-03-16,2020-03-11,COMPLETED,2020-03-08,
9467,462,14631.0,4116.0,,1321,Conduct staff training on updated procedure,CRITICAL,2020-09-15,,IN_PROGRESS,2020-09-07,
9468,462,14635.0,4117.0,,1321,Schedule professional inspection,LOW,2021-06-24,2021-05-26,COMPLETED,2021-03-23,
9469,462,14635.0,4117.0,,1322,Remove or trim vegetation creating hazard,HIGH,2021-04-25,2021-04-12,COMPLETED,2021-03-23,
9470,462,14635.0,4117.0,,1322,Engage contractor for specialist repair,HIGH,2021-04-26,2021-04-16,COMPLETED,2021-03-23,
9471,462,14637.0,4119.0,,1321,Schedule professional inspection,MEDIUM,2022-05-24,2022-05-05,COMPLETED,2022-03-27,
9472,462,14637.0,4119.0,,1323,Install additional safety signage,HIGH,2022-04-25,,IN_PROGRESS,2022-03-27,
9473,462,14639.0,4121.0,,1322,Conduct staff training on updated procedure,HIGH,2023-04-10,2023-04-05,COMPLETED,2023-03-07,
9474,462,14639.0,4121.0,,1323,Install guard rail or barrier,LOW,2023-06-11,2023-06-02,COMPLETED,2023-03-07,
9475,462,14641.0,4122.0,,1323,Apply anti-slip treatment to surface,LOW,2023-11-26,2023-11-16,COMPLETED,2023-09-04,
9476,462,14645.0,4123.0,,1323,Install guard rail or barrier,HIGH,2024-04-16,2024-04-06,COMPLETED,2024-03-13,
9477,462,14645.0,4123.0,,1323,Engage contractor for specialist repair,MEDIUM,2024-05-11,2024-04-30,COMPLETED,2024-03-13,
9478,462,14645.0,4123.0,,1322,Remove or trim vegetation creating hazard,MEDIUM,2024-05-15,2024-05-07,COMPLETED,2024-03-13,
9479,462,14645.0,4123.0,,1321,Install guard rail or barrier,HIGH,2024-04-06,2024-04-04,COMPLETED,2024-03-13,
9480,462,14645.0,4123.0,,1323,Schedule professional inspection,HIGH,2024-04-07,,OVERDUE,2024-03-13,
9481,462,14645.0,4124.0,,1321,Conduct staff training on updated procedure,LOW,2024-12-06,2024-10-24,COMPLETED,2024-09-04,
9482,462,14645.0,4125.0,,1321,Install guard rail or barrier,LOW,2025-06-10,2025-05-16,COMPLETED,2025-03-16,
9483,462,14648.0,,3980.0,1321,Engage contractor for specialist repair,HIGH,2020-07-14,2020-07-08,COMPLETED,2020-06-17,
9484,462,14648.0,,3980.0,1321,Review and update risk register,LOW,2020-09-11,2020-07-30,COMPLETED,2020-06-17,
9485,462,14650.0,,3981.0,1322,Replace worn equipment,CRITICAL,2021-08-07,2021-08-01,COMPLETED,2021-07-23,
9486,462,14652.0,,3982.0,1323,Apply anti-slip treatment to surface,HIGH,2021-06-03,,IN_PROGRESS,2021-05-09,
9487,462,14652.0,,3982.0,1321,Install additional safety signage,HIGH,2021-06-09,,IN_PROGRESS,2021-05-09,
