site_id,site_name,street_address,suburb,town_city,postal_code,latitude,longitude,location,region,territorial_authority,education_region,urban_rural,school_type,school_definition,authority,total_roll,equity_index,status
362,Waimate High School,Paul Street ,,Waimate,7924.0,-44.73745,171.047272,POINT(171.047272 -44.73745),Canterbury Region,Waimate District,"Canterbury, Chatham Islands",Small urban area,Secondary (Year 7-15),,State,293,481,Open
363,Waitaki Valley School,Settlement Road ,,Kurow,9435.0,-44.7425,170.464687,POINT(170.464687 -44.7425),Canterbury Region,Waitaki District,"Otago, Southland",Rural settlement,Full Primary,,State,102,440,Open
365,Waitaki Boys' High School,Waitaki Avenue ,,Oamaru,9444.0,-45.076998,170.99382,POINT(170.99382 -45.076998),Otago Region,Waitaki District,"Otago, Southland",Medium urban area,Secondary (Year 9-15),,State,425,477,Open
366,Waitaki Girls' High School,Trent Street ,,Oamaru,9444.0,-45.088979,170.974331,POINT(170.974331 -45.088979),Otago Region,Waitaki District,"Otago, Southland",Medium urban area,Secondary (Year 9-15),,State,395,478,Open
368,The Cathedral Grammar School,2 Chester Street West ,,Christchurch,8140.0,-43.528058,172.628555,POINT(172.628555 -43.528058),Canterbury Region,Christchurch City,"Canterbury, Chatham Islands",Major urban area,Full Primary,,Private : Fully Registered,245,0,Open
369,St Kevins College (Oamaru),44A Taward Street ,,Oamaru,9444.0,-45.064918,170.983153,POINT(170.983153 -45.064918),Otago Region,Waitaki District,"Otago, Southland",Medium urban area,Secondary (Year 9-15),,State : Integrated,483,447,Open
370,Maniototo Area School,15 Caulfeild Street ,,Ranfurly,9332.0,-45.125268,170.099776,POINT(170.099776 -45.125268),Otago Region,Central Otago District,"Otago, Southland",Rural settlement,Composite,,State,136,470,Open
371,East Otago High School,Stour Street ,,Palmerston,9443.0,-45.478911,170.721208,POINT(170.721208 -45.478911),Otago Region,Waitaki District,"Otago, Southland",Rural settlement,Secondary (Year 7-15),,State,196,488,Open
372,Dunstan High School,Enterprise Street ,,Alexandra,9320.0,-45.245876,169.386879,POINT(169.386879 -45.245876),Otago Region,Central Otago District,"Otago, Southland",Small urban area,Secondary (Year 9-15),,State,590,445,Open
373,Cromwell College,Barry Avenue ,,Cromwell,9310.0,-45.04349,169.1945,POINT(169.1945 -45.04349),Otago Region,Central Otago District,"Otago, Southland",Small urban area,Secondary (Year 7-15),,State,696,445,Open
374,Wakatipu High School,47-49 Red Oaks Drive ,Frankton,Queenstown,9300.0,-45.025574,168.749026,POINT(168.749026 -45.025574),Otago Region,Queenstown-Lakes District,"Otago, Southland",Medium urban area,Secondary (Year 9-15),,State,1538,416,Open
375,Roxburgh Area School,78 Scotland Street ,,Roxburgh,9500.0,-45.538153,169.311203,POINT(169.311203 -45.538153),Otago Region,Central Otago District,"Otago, Southland",Rural settlement,Composite,,State,118,473,Open
376,Logan Park High School,76 Butts Road ,,Dunedin,9054.0,-45.861858,170.528807,POINT(170.528807 -45.861858),Otago Region,Dunedin City,"Otago, Southland",Major urban area,Secondary (Year 9-15),,State,796,430,Open
377,Otago Boys' High School,2 Arthur Street ,,Dunedin,9054.0,-45.870985,170.495877,POINT(170.495877 -45.870985),Otago Region,Dunedin City,"Otago, Southland",Major urban area,Secondary (Year 9-15),,State,862,432,Open
378,Otago Girls' High School,41 Tennyson Street ,,Dunedin,9016.0,-45.875699,170.499657,POINT(170.499657 -45.875699),Otago Region,Dunedin City,"Otago, Southland",Major urban area,Secondary (Year 9-15),,State,717,439,Open
380,St Hildas Collegiate,2 Cobden Street ,,Dunedin,9016.0,-45.867322,170.503674,POINT(170.503674 -45.867322),Otago Region,Dunedin City,"Otago, Southland",Major urban area,Secondary (Year 7-15),,State : Integrated,461,394,Open
381,Kaikorai Valley College,Kaikorai Valley Road ,,Dunedin,9011.0,-45.881778,170.467245,POINT(170.467245 -45.881778),Otago Region,Dunedin City,"Otago, Southland",Major urban area,Secondary (Year 7-15),,State,434,502,Open
382,Bayfield High School,Shore Street ,Andersons Bay,Dunedin,9013.0,-45.895969,170.523191,POINT(170.523191 -45.895969),Otago Region,Dunedin City,"Otago, Southland",Major urban area,Secondary (Year 9-15),,State,521,463,Open
383,Kings High School (Dunedin),270 Bay View Road ,,Dunedin,9012.0,-45.902928,170.494239,POINT(170.494239 -45.902928),Otago Region,Dunedin City,"Otago, Southland",Major urban area,Secondary (Year 9-15),,State,879,453,Open
384,Queen's High School,195 Surrey Street ,St Clair,Dunedin,9012.0,-45.90402,170.491395,POINT(170.491395 -45.90402),Otago Region,Dunedin City,"Otago, Southland",Major urban area,Secondary (Year 9-15),,State,592,463,Open
386,Columba College,399 Highgate ,Roslyn,Dunedin,9054.0,-45.863466,170.493983,POINT(170.493983 -45.863466),Otago Region,Dunedin City,"Otago, Southland",Major urban area,Composite,,State : Integrated,608,391,Open
387,John McGlashan College,2 Pilkington Street ,Maori Hill,Dunedin,9010.0,-45.85568,170.497833,POINT(170.497833 -45.85568),Otago Region,Dunedin City,"Otago, Southland",Major urban area,Secondary (Year 7-15),,State : Integrated,527,390,Open
390,Lawrence Area School,18 Harrington Street ,,Lawrence,9532.0,-45.921137,169.686813,POINT(169.686813 -45.921137),Otago Region,Clutha District,"Otago, Southland",Rural settlement,Composite,,State,127,460,Open
391,Blue Mountain College,State Highway 90 ,,Tapanui,9522.0,-45.939858,169.258764,POINT(169.258764 -45.939858),Otago Region,Clutha District,"Otago, Southland",Rural settlement,Secondary (Year 7-15),,State,229,463,Open
392,Tokomairiro High School,238 Union Street ,,Milton,9220.0,-46.113193,169.966921,POINT(169.966921 -46.113193),Otago Region,Clutha District,"Otago, Southland",Small urban area,Secondary (Year 7-15),,State,200,500,Open
393,South Otago High School,Frances Street ,Rosebank,Balclutha,9232.0,-46.246237,169.728524,POINT(169.728524 -46.246237),Otago Region,Clutha District,"Otago, Southland",Small urban area,Secondary (Year 9-15),,State,498,475,Open
394,The Catlins Area School,1 Stuart Street ,,Owaka,9535.0,-46.45314,169.661394,POINT(169.661394 -46.45314),Otago Region,Clutha District,"Otago, Southland",Rural settlement,Composite,,State,128,470,Open
395,Northern Southland College,Maria Street ,,Lumsden,9730.0,-45.744018,168.448746,POINT(168.448746 -45.744018),Southland Region,Southland District,"Otago, Southland",Rural settlement,Secondary (Year 7-15),,State,213,464,Open
397,St Peter's College (Gore),121 Kakapo Street ,,Gore,9740.0,-46.107165,168.924031,POINT(168.924031 -46.107165),Southland Region,Gore District,"Otago, Southland",Small urban area,Secondary (Year 7-15),,State : Integrated,350,442,Open
398,Takitimu Primary School,15 Evan Street ,,Nightcaps,9630.0,-45.974801,168.032578,POINT(168.032578 -45.974801),Southland Region,Southland District,"Otago, Southland",Rural settlement,Full Primary,,State,97,467,Open
399,Central Southland College,174 MacKenzie Street ,,Winton,9720.0,-46.137197,168.320121,POINT(168.320121 -46.137197),Southland Region,Southland District,"Otago, Southland",Small urban area,Secondary (Year 9-15),,State,669,462,Open
400,Fiordland College,4 Howden Street ,,Te Anau,9640.0,-45.409262,167.723689,POINT(167.723689 -45.409262),Southland Region,Southland District,"Otago, Southland",Small urban area,Secondary (Year 7-15),,State,299,441,Open
401,Menzies College,Alma Street ,,Wyndham,9831.0,-46.324828,168.845934,POINT(168.845934 -46.324828),Southland Region,Southland District,"Otago, Southland",Rural settlement,Secondary (Year 7-15),,State,345,477,Open
402,Waiau Area School,47 Orawia Road ,,Tuatapere,9620.0,-46.129567,167.688882,POINT(167.688882 -46.129567),Southland Region,Southland District,"Otago, Southland",Rural settlement,Composite,,State,137,525,Open
404,Southland Boys' High School,181 Herbert Street ,,Invercargill,9840.0,-46.395635,168.359101,POINT(168.359101 -46.395635),Southland Region,Invercargill City,"Otago, Southland",Large urban area,Secondary (Year 7-15),,State,1087,464,Open
405,Southland Girls' High School,328 Tweed Street ,Georgetown,Invercargill,9812.0,-46.417471,168.36516,POINT(168.36516 -46.417471),Southland Region,Invercargill City,"Otago, Southland",Large urban area,Secondary (Year 7-15),,State,1089,463,Open
408,Verdon College,Rockdale Road ,,Invercargill,9840.0,-46.41572,168.397288,POINT(168.397288 -46.41572),Southland Region,Invercargill City,"Otago, Southland",Large urban area,Secondary (Year 7-15),,State : Integrated,696,464,Open
409,Aparima College,33 Leader Street ,,Riverton,9822.0,-46.353612,168.016613,POINT(168.016613 -46.353612),Southland Region,Southland District,"Otago, Southland",Small urban area,Secondary (Year 7-15),,State,212,489,Open
418,Rangiora New Life School,2 Denchs Road ,Southbrook,Rangiora,7400.0,-43.320251,172.598016,POINT(172.598016 -43.320251),Canterbury Region,Waimakariri District,"Canterbury, Chatham Islands",Medium urban area,Composite,,State : Integrated,467,434,Open
419,Rudolf Steiner School (Chch),19 Ombersley Terrace ,Opawa,Christchurch,8241.0,-43.560087,172.659135,POINT(172.659135 -43.560087),Canterbury Region,Christchurch City,"Canterbury, Chatham Islands",Major urban area,Composite,,State : Integrated,282,410,Open
421,Richmond View School,26 Burleigh Road ,,Blenheim,7201.0,-41.526405,173.943363,POINT(173.943363 -41.526405),Marlborough Region,Marlborough District,"Nelson, Marlborough, West Coast",Medium urban area,Composite,,State : Integrated,330,429,Open
422,Faith City School,127 Springvale Road ,Springvale,Whanganui,4501.0,-39.92043,175.020933,POINT(175.020933 -39.92043),Manawatū-Whanganui Region,Whanganui District,"Taranaki, Whanganui, Manawatū",Large urban area,Full Primary,,State : Integrated,157,441,Open
424,Michael Park School,55 Amy Street ,Ellerslie,Auckland,1542.0,-36.893517,174.815655,POINT(174.815655 -36.893517),Auckland Region,Ōrākei Local Board Area,Tāmaki Herenga Manawa,Major urban area,Composite,,State : Integrated,317,388,Open
428,Whangamata Area School,Port Road ,,Whangamata,3643.0,-37.215339,175.866532,POINT(175.866532 -37.215339),Waikato Region,Thames-Coromandel District,Waikato,Small urban area,Composite,,State,560,460,Open
429,Excellere College,39 Great North Road ,Kamo,Whangarei,141.0,-35.669702,174.298573,POINT(174.298573 -35.669702),Northland Region,Whangarei District,Tai Tokerau,Large urban area,Composite,,State : Integrated,360,452,Open
432,KingsWay School,100 Jelas Road ,,Red Beach,945.0,-36.605641,174.683043,POINT(174.683043 -36.605641),Auckland Region,Hibiscus and Bays Local Board Area,Tāmaki Herenga Tāngata,Large urban area,Composite,,State : Integrated,2078,388,Open
435,Hukarere Girls' College,31 Napier Road ,,Havelock North,4157.0,-39.667401,176.879131,POINT(176.879131 -39.667401),Hawke's Bay Region,Hastings District,"Hawke's Bay, Tairāwhiti",Medium urban area,Secondary (Year 9-15),Secondary Māori Boarding School,State : Integrated,53,542,Open
436,Springbank School,78 Waimate North Road ,,Kerikeri,245.0,-35.242004,173.915476,POINT(173.915476 -35.242004),Northland Region,Far North District,Tai Tokerau,Rural other,Composite,,Private : Fully Registered,197,0,Open
439,Totara College of Accelerated Learning,3 Ruahine Street ,,Dannevirke,4942.0,-40.190155,176.111442,POINT(176.111442 -40.190155),Manawatū-Whanganui Region,Tararua District,Wellington,Small urban area,Composite,,State : Integrated,81,498,Open
440,Pinehurst School,75 Bush Road ,Albany,Auckland,751.0,-36.739163,174.704012,POINT(174.704012 -36.739163),Auckland Region,Upper Harbour Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Composite,,Private : Fully Registered,1145,0,Open
441,ACG Strathallan,50 Hayfield Way ,Karaka,Papakura,2113.0,-37.081862,174.903703,POINT(174.903703 -37.081862),Auckland Region,Papakura Local Board Area,Tāmaki Herenga Waka,Major urban area,Composite,,Private : Fully Registered,1263,0,Open
443,Hastings Christian School,1009 Copeland Road ,Akina,Hastings,4122.0,-39.658526,176.845189,POINT(176.845189 -39.658526),Hawke's Bay Region,Hastings District,"Hawke's Bay, Tairāwhiti",Large urban area,Composite,,State : Integrated,328,428,Open
451,Hamilton Christian School,4 North City Road ,Rototuna North,Hamilton,3281.0,-37.721434,175.26086,POINT(175.26086 -37.721434),Waikato Region,Hamilton City,Waikato,Major urban area,Composite,,State : Integrated,979,413,Open
452,Southern Cross Campus,237 Buckland Road ,Mangere,Auckland,2153.0,-36.964291,174.816726,POINT(174.816726 -36.964291),Auckland Region,Māngere-Ōtāhuhu Local Board Area,Tāmaki Herenga Waka,Major urban area,Composite,,State,1678,515,Open
453,Kadimah School,514 Remuera Road ,Remuera,Auckland,1145.0,-36.881083,174.802674,POINT(174.802674 -36.881083),Auckland Region,Ōrākei Local Board Area,Tāmaki Herenga Manawa,Major urban area,Full Primary,,State : Integrated,143,361,Open
454,St Dominic's College,12B York Street ,Gonville,Whanganui,4541.0,-39.939407,175.022669,POINT(175.022669 -39.939407),Manawatū-Whanganui Region,Whanganui District,"Taranaki, Whanganui, Manawatū",Large urban area,Secondary (Year 7-15),,Private : Fully Registered,51,0,Open
456,Pukekohe Christian School,82 Yates Road ,,Pukekohe,2340.0,-37.216711,174.931297,POINT(174.931297 -37.216711),Auckland Region,Franklin Local Board Area,Tāmaki Herenga Waka,Medium urban area,Composite,,Private : Fully Registered,323,0,Open
460,Atea College,21 Domain Road ,Panmure,Auckland,1072.0,-36.901088,174.854481,POINT(174.854481 -36.901088),Auckland Region,Maungakiekie-Tāmaki Local Board Area,Tāmaki Herenga Manawa,Major urban area,Composite,,Private : Fully Registered,17,0,Open
462,Ambury Park Centre,66 Wellesley Road ,Mangere Bridge,Auckland,2151.0,-36.953132,174.771215,POINT(174.771215 -36.953132),Auckland Region,Māngere-Ōtāhuhu Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 9-15),,Private : Fully Registered,3,0,Open
463,TKK Motuhake o Tawhiuau,43 Miro Drive ,,Murupara,3062.0,-38.460994,176.70927,POINT(176.70927 -38.460994),Bay of Plenty Region,Whakatane District,"Bay of Plenty, Waiariki",Small urban area,Composite,,State,90,552,Open
465,Mana Tamariki,165 Grey Street ,Palmerston North CBD,Palmerston North,4410.0,-40.349078,175.616143,POINT(175.616143 -40.349078),Manawatū-Whanganui Region,Palmerston North City,"Taranaki, Whanganui, Manawatū",Large urban area,Composite,,State,68,444,Open
466,Manukau Christian School,77 Rogers Road ,Manurewa,Auckland,2243.0,-37.027835,174.899782,POINT(174.899782 -37.027835),Auckland Region,Manurewa Local Board Area,Tāmaki Herenga Waka,Major urban area,Composite,,Private : Fully Registered,314,0,Open
471,Zayed College for Girls,44 Westney Road ,Mangere,Auckland,2153.0,-36.978829,174.792663,POINT(174.792663 -36.978829),Auckland Region,Māngere-Ōtāhuhu Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 7-15),,State : Integrated,194,433,Open
472,OneSchool Global - New Zealand,Level 1 The Precinct 40 Onehunga Mall,Onehunga,Auckland,1643.0,-36.930189,174.786583,POINT(174.786583 -36.930189),Auckland Region,Maungakiekie-Tāmaki Local Board Area,Tāmaki Herenga Manawa,Major urban area,Composite,,Private : Fully Registered,1499,0,Open
476,Tongariro School,22 Waipapa Road ,,Turangi,3334.0,-38.98579,175.815059,POINT(175.815059 -38.98579),Waikato Region,Taupo District,"Bay of Plenty, Waiariki",Small urban area,Composite,,State,366,546,Open
478,Wainuiomata High School,60 Parkway ,Wainuiomata,Lower Hutt,5048.0,-41.251669,174.936203,POINT(174.936203 -41.251669),Wellington Region,Lower Hutt City,Wellington,Major urban area,Secondary (Year 9-15),,State,707,509,Open
481,City Impact Church School,794 East Coast Road ,Oteha,Auckland,753.0,-36.721824,174.722963,POINT(174.722963 -36.721824),Auckland Region,Upper Harbour Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Composite,,Private : Fully Registered,351,0,Open
482,Aquinas College,183 Pyes Pa Road ,Pyes Pa,Tauranga,3173.0,-37.750885,176.121982,POINT(176.121982 -37.750885),Bay of Plenty Region,Tauranga City,"Bay of Plenty, Waiariki",Major urban area,Secondary (Year 7-15),,State : Integrated,840,402,Open
484,Wentworth College,65 Gulf Harbour Drive ,Gulf Harbour,Whangaparaoa,943.0,-36.613154,174.791292,POINT(174.791292 -36.613154),Auckland Region,Hibiscus and Bays Local Board Area,Tāmaki Herenga Tāngata,Large urban area,Secondary (Year 7-15),,Private : Fully Registered,468,0,Open
485,Taumata School,145 Mortlake Heights ,Pyes Pa,Tauranga,3112.0,-37.751294,176.110904,POINT(176.110904 -37.751294),Bay of Plenty Region,Tauranga City,"Bay of Plenty, Waiariki",Major urban area,Full Primary,,State,636,415,Open
487,Mt Hobson Academy,,,,1546.0,,,,,,Tāmaki Herenga Manawa,,Composite,,Private : Fully Registered,45,0,Open
488,Ngā Taiātea Wharekura,134 Rotokauri Road ,Nawton,Hamilton,3289.0,-37.768016,175.231112,POINT(175.231112 -37.768016),Waikato Region,Hamilton City,Waikato,Major urban area,Secondary (Year 9-15),,State,295,504,Open
491,Sancta Maria College,319 Te Irirangi Drive ,Howick South,Manukau,2163.0,-36.957848,174.90488,POINT(174.90488 -36.957848),Auckland Region,Howick Local Board Area,Tāmaki Herenga Manawa,Major urban area,Secondary (Year 7-15),,State : Integrated,1049,390,Open
494,Putāruru College,Junction Street ,,Putaruru,3443.0,-38.04016,175.786837,POINT(175.786837 -38.04016),Waikato Region,South Waikato District,Waikato,Small urban area,Secondary (Year 7-15),,State,406,518,Open
495,Taieri College,Green Street ,,Mosgiel,9053.0,-45.875915,170.351398,POINT(170.351398 -45.875915),Otago Region,Dunedin City,"Otago, Southland",Medium urban area,Secondary (Year 7-15),,State,1198,459,Open
496,Reefton Area School,10 Victory Street ,,Reefton,7830.0,-42.115241,171.860874,POINT(171.860874 -42.115241),West Coast Region,Buller District,"Nelson, Marlborough, West Coast",Small urban area,Composite,,State,175,504,Open
497,Te Kura o Hirangi,29 Mawake Place ,,Turangi,3334.0,-38.984401,175.803419,POINT(175.803419 -38.984401),Waikato Region,Taupo District,"Bay of Plenty, Waiariki",Small urban area,Composite,,State,259,535,Open
498,Te Aho o Te Kura Pounamu,11 Portland Crescent ,Thorndon,Wellington,5045.0,-41.274444,174.776608,POINT(174.776608 -41.274444),Wellington Region,Wellington City,Wellington,Major urban area,Correspondence School,,State,8718,506,Open
506,Drury Christian School,13 Sutton Road ,,Drury,2113.0,-37.096351,174.950061,POINT(174.950061 -37.096351),Auckland Region,Papakura Local Board Area,Tāmaki Herenga Waka,Major urban area,Composite,,Private : Fully Registered,33,0,Open
514,Kimi Ora School,100 Walters Street ,Naenae,Lower Hutt,5041.0,-41.197646,174.94265,POINT(174.94265 -41.197646),Wellington Region,Lower Hutt City,Wellington,Major urban area,Specialist School,Day Specialist,State,137,467,Open
518,Kingslea School,19 Pavitt Street ,Richmond,Christchurch,7643.0,-43.521749,172.654959,POINT(172.654959 -43.521749),Canterbury Region,Christchurch City,"Canterbury, Chatham Islands",Major urban area,Specialist School,Oranga Tamariki,State,123,569,Open
522,Te Whānau o Ōtūmatua,15 Nash Road ,Halswell,Christchurch,8025.0,-43.562158,172.569358,POINT(172.569358 -43.562158),Canterbury Region,Christchurch City,"Canterbury, Chatham Islands",Major urban area,Specialist School,Residential Specialist School,State,13,540,Open
525,Salisbury School (Nelson),67 Salisbury Road ,,Richmond,7050.0,-41.337559,173.195399,POINT(173.195399 -41.337559),Tasman Region,Tasman District,"Nelson, Marlborough, West Coast",Medium urban area,Specialist School,Residential Specialist School,State,12,517,Open
527,Twizel Area School,Mt Cook Street ,,Twizel,7901.0,-44.255248,170.098059,POINT(170.098059 -44.255248),Canterbury Region,Mackenzie District,"Canterbury, Chatham Islands",Small urban area,Composite,,State,251,452,Open
528,Ponatahi Christian School,6 Howard Street ,,Carterton,5713.0,-41.032158,175.522456,POINT(175.522456 -41.032158),Wellington Region,Carterton District,Wellington,Small urban area,Composite,,State : Integrated,136,431,Open
530,Waiheke High School,11 Donald Bruce Road ,,Waiheke Island,1081.0,-36.799898,175.027745,POINT(175.027745 -36.799898),Auckland Region,Waiheke Local Board Area,Tāmaki Herenga Manawa,Small urban area,Secondary (Year 7-15),,State,387,442,Open
531,Catholic Cathedral College,62 Ferry Road ,Phillipstown,Christchurch,8145.0,-43.53766,172.646599,POINT(172.646599 -43.53766),Canterbury Region,Christchurch City,"Canterbury, Chatham Islands",Major urban area,Secondary (Year 7-15),,State : Integrated,601,448,Open
532,John Paul College,Whitworth Road ,Utuhina,Rotorua,3044.0,-38.143035,176.229637,POINT(176.229637 -38.143035),Bay of Plenty Region,Rotorua District,"Bay of Plenty, Waiariki",Large urban area,Secondary (Year 7-15),,State : Integrated,1098,415,Open
533,Mt Aspiring College,101 Plantation Road ,,Wanaka,9305.0,-44.68733,169.136772,POINT(169.136772 -44.68733),Otago Region,Queenstown-Lakes District,"Otago, Southland",Medium urban area,Secondary (Year 7-15),,State,1318,412,Open
536,Trinity Catholic College,340 Rattray Street ,City Rise,Dunedin,9054.0,-45.873943,170.496588,POINT(170.496588 -45.873943),Otago Region,Dunedin City,"Otago, Southland",Major urban area,Secondary (Year 7-15),,State : Integrated,867,431,Open
539,Waikato Waldorf School ( Rudolf Steiner),85 Barrington Drive ,Rototuna,Hamilton,3248.0,-37.725574,175.280722,POINT(175.280722 -37.725574),Waikato Region,Hamilton City,Waikato,Major urban area,Composite (Year 1-10),,State : Integrated,184,424,Open
544,Al-Madinah School,8 Westney Road ,Mangere,Auckland,2153.0,-36.97636,174.792438,POINT(174.792438 -36.97636),Auckland Region,Māngere-Ōtāhuhu Local Board Area,Tāmaki Herenga Waka,Major urban area,Composite,,State : Integrated,551,413,Open
545,Te Kura Toitu o Te Whaiti-nui-a-Toi,49 Minginui Road ,,Te Whaiti,3046.0,-38.589193,176.776491,POINT(176.776491 -38.589193),Bay of Plenty Region,Whakatane District,"Bay of Plenty, Waiariki",Rural other,Composite (Year 1-10),,State,15,540,Open
546,Whitby Collegiate,2 Starboard Lane ,Whitby,Porirua,6011.0,-41.114985,174.894118,POINT(174.894118 -41.114985),Wellington Region,Porirua City,Wellington,Large urban area,Secondary (Year 7-15),,Private : Fully Registered,357,0,Open
548,Aurora College,234 Regent Street ,,Invercargill,9840.0,-46.43114,168.384079,POINT(168.384079 -46.43114),Southland Region,Invercargill City,"Otago, Southland",Large urban area,Secondary (Year 7-15),,State,604,545,Open
549,Taihape Area School,26 Huia Street ,,Taihape,4742.0,-39.675966,175.801514,POINT(175.801514 -39.675966),Manawatū-Whanganui Region,Rangitikei District,"Taranaki, Whanganui, Manawatū",Small urban area,Composite,,State,254,514,Open
550,Te Waha O Rerekohu Area School,3 Arawhena Street ,,Te Araroa,4050.0,-37.633719,178.365549,POINT(178.365549 -37.633719),Gisborne Region,Gisborne District,"Hawke's Bay, Tairāwhiti",Rural settlement,Composite,,State,64,555,Open
551,Coastal Taranaki School,91 Carthew Street ,,Okato,4348.0,-39.19286,173.881545,POINT(173.881545 -39.19286),Taranaki Region,New Plymouth District,"Taranaki, Whanganui, Manawatū",Rural settlement,Composite,,State,240,478,Open
552,James Hargest College,282 Layard Street ,,Invercargill,9810.0,-46.390629,168.384284,POINT(168.384284 -46.390629),Southland Region,Invercargill City,"Otago, Southland",Large urban area,Secondary (Year 7-15),,State,1897,445,Open
553,Mission Heights Junior College,Jeffs Road ,Flat Bush,Auckland,2163.0,-36.963908,174.931233,POINT(174.931233 -36.963908),Auckland Region,Howick Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 7-10),,State,934,407,Open
555,Tangaroa College Teen Parent Unit,Haumia Way ,Otara South,Auckland,2159.0,-36.97311,174.8926,POINT(174.8926 -36.97311),Auckland Region,Ōtara-Papatoetoe Local Board Area,Tāmaki Herenga Waka,Major urban area,Teen Parent Unit,,State,0,569,Open
557,Holy Family School (Wanaka),152 Aubrey Road ,,Wanaka,9305.0,-44.67979,169.137627,POINT(169.137627 -44.67979),Otago Region,Queenstown-Lakes District,"Otago, Southland",Medium urban area,Full Primary,,State : Integrated,204,387,Open
558,TKKM o Te Kura Kokiri,1223 Welcome Bay Road ,Welcome Bay,Tauranga,3140.0,-37.723435,176.283679,POINT(176.283679 -37.723435),Bay of Plenty Region,Tauranga City,"Bay of Plenty, Waiariki",Major urban area,Composite,,State,264,551,Open
559,Te Kura o Te Wainui-ā-Rua,4502 Whanganui River Road ,,Ranana,4576.0,-39.582597,175.107522,POINT(175.107522 -39.582597),Manawatū-Whanganui Region,Whanganui District,"Taranaki, Whanganui, Manawatū",Rural other,Composite,,State,52,536,Open
563,Albany Senior High School,536 Albany Highway ,Albany,Auckland,752.0,-36.730178,174.695766,POINT(174.695766 -36.730178),Auckland Region,Upper Harbour Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Secondary (Year 11-15),,State,765,446,Open
564,Ormiston Senior College,275 Ormiston Road ,Flat Bush,Auckland,2164.0,-36.96796,174.918244,POINT(174.918244 -36.96796),Auckland Region,Howick Local Board Area,Tāmaki Herenga Waka,Major urban area,Secondary (Year 11-15),,State,1539,443,Open
565,Stonefields School,81 Tihi Street ,Stonefields,Auckland,1072.0,-36.888313,174.840539,POINT(174.840539 -36.888313),Auckland Region,Ōrākei Local Board Area,Tāmaki Herenga Manawa,Major urban area,Full Primary,,State,646,361,Open
566,Maraekakaho School,68 Kereru Road ,,Maraekakaho,4171.0,-39.648542,176.6179,POINT(176.6179 -39.648542),Hawke's Bay Region,Hastings District,"Hawke's Bay, Tairāwhiti",Rural other,Full Primary,,State,137,402,Open
567,Te Wharekura o Te Kaokaoroa o Patetere,117 Buckland Street ,,Putaruru,3411.0,-38.044284,175.774428,POINT(175.774428 -38.044284),Waikato Region,South Waikato District,Waikato,Small urban area,Composite,,State,294,523,Open
570,Mission Heights Primary School,Jeffs Road ,Flat Bush,Auckland,2163.0,-36.962395,174.931665,POINT(174.931665 -36.962395),Auckland Region,Howick Local Board Area,Tāmaki Herenga Waka,Major urban area,Contributing,,State,679,368,Open
571,ACG Sunderland,6 Waipareira Avenue ,Henderson,Waitakere,610.0,-36.864303,174.633796,POINT(174.633796 -36.864303),Auckland Region,Henderson-Massey Local Board Area,Tāmaki Herenga Tāngata,Major urban area,Composite,,Private : Fully Registered,886,0,Open
572,Te Matauru Primary,53-59 Pentecost Road ,,Rangiora,7400.0,-43.314642,172.583507,POINT(172.583507 -43.314642),Canterbury Region,Waimakariri District,"Canterbury, Chatham Islands",Medium urban area,Full Primary,,State,240,445,Open
577,Te Totara Primary School,31 Hector Drive ,Rototuna North,Hamilton,3256.0,-37.719718,175.266642,POINT(175.266642 -37.719718),Waikato Region,Hamilton City,Waikato,Major urban area,Contributing,,State,716,393,Open
579,Knights Stream School- Mingimingi Hautoa,1 Killarney Avenue ,Halswell,Christchurch,8025.0,-43.570862,172.537934,POINT(172.537934 -43.570862),Canterbury Region,Christchurch City,"Canterbury, Chatham Islands",Major urban area,Full Primary,,State,647,385,Open
584,West Rolleston Primary School,327 Dunns Crossing Road ,,Rolleston,7678.0,-43.606888,172.355917,POINT(172.355917 -43.606888),Canterbury Region,Selwyn District,"Canterbury, Chatham Islands",Rural other,Full Primary,,State,751,415,Open
585,Ararira Springs Primary- Te Puna o Ararira,18 Russ Drive ,,Lincoln,7672.0,-43.648092,172.492975,POINT(172.492975 -43.648092),Canterbury Region,Selwyn District,"Canterbury, Chatham Islands",Small urban area,Full Primary,,State,527,397,Open
586,Shotover Primary School,57 Stalker Road ,,Queenstown,9304.0,-45.005745,168.776627,POINT(168.776627 -45.005745),Otago Region,Queenstown-Lakes District,"Otago, Southland",Medium urban area,Full Primary,,State,564,396,Open
588,Hingaia Peninsula School,3 Papaka Road ,Hingaia,Auckland,2580.0,-37.077445,174.916184,POINT(174.916184 -37.077445),Auckland Region,Papakura Local Board Area,Tāmaki Herenga Waka,Major urban area,Full Primary,,State,433,380,Open
589,Te Kura o Nga Ruahine Rangi,520 Eltham Road ,,Mangatoki,4391.0,-39.423822,174.229208,POINT(174.229208 -39.423822),Taranaki Region,South Taranaki District,"Taranaki, Whanganui, Manawatū",Rural other,Composite,,State,64,531,Open
